f,neff(real),neff(imag),loss,beta(real),beta(imag),overlap,vg,D,Z0(real),Z0(imag)
1.998616386667e+014,2.612962832937e+000,1.727551756641e-006,6.285415378131e+001,1.094515312008e+007,7.236351876479e+000,9.999999701968e-001,7.919936327490e+007,-4.500521314022e-004,1.#INF00000000e+000,-1.#INF00000000e+000
1.980771597500e+014,2.602409836974e+000,2.077414559275e-006,7.490849011906e+001,1.080361893365e+007,8.624158634342e+000,9.999999689975e-001,7.923968236908e+007,-5.001545891687e-004,1.#INF00000000e+000,-1.#INF00000000e+000
1.962926808333e+014,2.591683577729e+000,2.528270562236e-006,9.034437686552e+001,1.066216130601e+007,1.040128077032e+001,9.999999676805e-001,7.928517916524e+007,-5.523092032601e-004,1.#INF00000000e+000,-1.#INF00000000e+000
1.945082019167e+014,2.580781619441e+000,3.114231031196e-006,1.102712301311e+002,1.052078974763e+007,1.269544453430e+001,9.999999662198e-001,7.933626713131e+007,-6.067753485179e-004,1.#INF00000000e+000,-1.#INF00000000e+000
1.927237230000e+014,2.569701617329e+000,3.882418087664e-006,1.362106140309e+002,1.037951450090e+007,1.568182646876e+001,9.999999645808e-001,7.939339479544e+007,-6.640181790535e-004,1.#INF00000000e+000,-1.#INF00000000e+000
1.909392440833e+014,2.558441335918e+000,4.898381600349e-006,1.702633940367e+002,1.023834659637e+007,1.960229764958e+001,9.999999627167e-001,7.945704828141e+007,-7.238790836439e-004,1.#INF00000000e+000,-1.#INF00000000e+000
1.891547651667e+014,2.546998669162e+000,6.253875002613e-006,2.153475600918e+002,1.009729791215e+007,2.479280408400e+001,9.999999605636e-001,7.952775412048e+007,-7.866476958811e-004,1.#INF00000000e+000,-1.#INF00000000e+000
1.873702862500e+014,2.535371662087e+000,8.077995351788e-006,2.755356461106e+002,9.956381234664e+006,3.172221356614e+001,9.999999580339e-001,7.960607998519e+007,-8.523586254411e-004,1.#INF00000000e+000,-1.#INF00000000e+000
